,Square_Feet,Bedrooms,House_Age,Proximity_to_Schools_km,Proximity_to_Parks_km,Price
0,3974,4,55,7.073004378080586,0.5765906304428766,907405.602657461
1,1660,5,80,6.693631965274705,0.32168356839419604,405341.1907092248
2,2094,1,58,2.630558439875318,4.82071239045404,369552.88567699626
3,1930,5,1,7.265702602801591,4.212704578458588,415087.2584353717
4,1895,5,1,2.7538663312196006,3.5406761892497505,489807.6892717071
5,3892,1,91,3.591297132513043,2.1629741331884955,736369.4724723189
6,2438,1,53,7.591668348621229,1.0318127363400598,531266.7500182547
7,2969,1,86,6.671512540948539,0.9508978048212131,632228.4750711108
8,1266,1,95,8.56762239969469,1.4011659111900574,224934.3759852299
9,2038,4,96,6.747322476853262,2.8362879905893785,442142.12913557136
10,1130,3,0,5.8989317316869805,3.630060428960299,159640.66426848143
11,2282,3,18,1.3899102943668784,3.36894740824511,585303.2447999299
12,2935,1,1,3.9933001290646186,1.5436827053405255,584891.5360538135
13,3971,3,52,3.0194224929763918,4.783353347183332,884118.0568533032
14,3719,3,43,2.817901612101294,3.741905200139689,816179.4070627876
15,930,1,89,9.743600270148233,2.8608994520547233,271147.634751289
16,2485,3,31,4.234428384334224,3.136259581924891,510880.477925937
17,1569,5,69,8.974442274182577,2.2140802996533915,357039.3364994179
18,3191,2,31,6.4958169469739975,1.3891087496055556,680462.5131805968
19,2315,2,67,8.05070738364566,1.9086688575260555,523175.72304808674
20,3653,1,54,5.275052384499325,3.837661330228972,818203.9551777786
21,3233,4,74,5.980586903950411,0.2690887454228282,638163.036530666
22,2015,1,55,5.178918091279207,0.7571486744331979,375116.89913896524
23,1755,4,16,2.354808384081423,0.4208126817044132,439857.26138196245
24,3124,2,37,7.3632950949843,0.39549825113105663,528376.8941654571
25,1984,1,23,3.16733744318813,4.306210803252835,511353.96300996817
26,1259,5,68,0.7310016810988115,3.5775577250241137,288893.24801527866
27,821,3,97,6.631986811118094,2.476034379619161,191178.14677632038
28,3100,4,69,2.182551454366965,0.6696039711248071,608367.1502586238
29,1547,3,85,9.434356551352685,2.5597562005607952,332183.91877634305
30,3704,3,10,9.562321481524581,2.4726644997467155,829475.9058154948
31,1274,1,15,9.191211707094261,1.0313689755680728,297252.8951706523
32,1882,3,96,4.016507652426721,2.2824879163422707,429317.71986833174
33,3358,5,72,0.6468378570242406,2.1128227251073923,716579.3942504221
34,2847,3,58,9.31902634458339,3.156080470650639,527469.1187970177
35,3547,1,69,4.567749409014486,3.2484495241646902,692923.0011084161
36,1775,5,79,9.68322078091486,0.4174592469058137,355706.3913627732
37,2606,2,92,9.654389782347902,1.9981405502070617,559494.5573407506
38,989,3,2,8.60358982693992,3.204127595428335,233292.0641624307
39,3805,1,19,3.297264474661064,2.615054041184421,832608.3831727376
40,3534,2,58,4.158428421718289,4.311151237703947,770232.1508662915
41,3805,2,35,8.585798379410141,3.3617294317709363,791675.5659716858
42,1362,4,18,3.510759048984638,0.9820852499908626,410353.9878293025
43,2699,5,89,2.1101810935178786,0.5387299875220632,586420.993059155
44,2067,3,66,5.789611993354327,3.283612535390315,426622.1782093495
45,3679,1,18,9.39347035452742,0.3272542905997847,826842.9142946173
46,2328,4,19,7.112283068412244,3.011722790112624,562412.0766731587
47,1446,5,95,5.915581115848967,4.713105158839796,435843.6496670602
48,2868,4,70,1.4231766908223011,2.962276053804219,609628.434958136
49,3688,5,51,6.342568653642113,2.0632156457913053,821068.6128367435
50,3014,5,32,9.9055115759905,3.2877834485232955,571234.2830585778
51,2097,3,39,1.8307981447469783,2.39961387435928,490576.4333958357
52,3235,5,38,5.424131697455499,2.8189605887164877,680861.3550995713
53,1400,4,81,8.835044183315576,4.719031082127321,260354.30669780637
54,3163,5,0,7.537301868664942,2.0532926614437166,718119.0596237837
55,2861,3,10,7.121649539455046,4.813714706354788,527981.5018615824
56,1041,3,91,7.173598797877538,4.545683081389106,155846.54000002437
57,2841,4,56,3.915165936587674,1.139797446988623,610967.0365795863
58,3624,2,88,3.289122520512687,0.5329342442007942,763461.7269494331
59,3412,2,49,8.18893097704588,0.683734406611648,737717.1352765078
60,3745,5,22,8.196077249452216,0.2874647631274387,804981.7916820406
61,2163,1,30,8.737187026510986,0.6533262116284563,507622.35393799806
62,2939,5,93,9.175785249286477,3.478432512398513,665533.8225180226
63,2190,4,41,5.357752789178909,0.5417055126090992,449950.9191145708
64,3803,4,98,5.264404799528396,1.7310830254100542,784523.7036141567
65,2278,4,6,8.083804200184364,4.255401492653382,487388.34829168214
66,3356,4,15,6.674657342388769,0.31170529153196413,701642.8612110261
67,1575,4,89,7.168685333948182,4.109448716426892,304949.6109691341
68,834,3,59,8.06003035964296,1.5529029189123196,202619.3029196033
69,3053,2,1,8.95505074726688,0.76719117258395,613451.8032918241
70,3952,4,0,3.7109539900895903,3.5443383937479234,848825.5110542641
71,2755,1,47,4.068038050079468,3.2189256645434434,591149.519014801
72,2385,1,11,1.3928284284882555,4.411865664929854,393178.86682516395
73,3873,1,68,5.993661339463653,3.7283410102586516,757688.3758093722
74,1821,1,36,0.8414516010690498,4.056708465847273,395020.78292126633
75,3413,3,31,4.923181172258372,1.553765948342271,702022.6984995962
76,1929,1,8,5.655124029721978,1.0517098101426696,406448.0199014041
77,2300,4,98,3.222141895218702,3.80295080787612,521338.8790843724
78,1502,5,18,6.112915975405603,4.072806748482867,427501.2041591521
79,3249,1,47,0.7897523744209696,4.954424681603232,708798.5691333022
80,3577,3,79,0.854807793117537,2.1805648491748473,730548.5255894591
81,2379,3,2,8.314705326266754,1.9856868118053592,418394.615541302
82,961,1,19,3.9218110934069976,3.926782211561585,156072.94082199284
83,1001,5,23,1.7070748701929055,1.8358569932144855,264724.3715742832
84,2781,1,53,5.461310970520642,4.667635162897111,645572.1110381797
85,1795,3,32,7.8149387544368025,4.320381208846457,477496.66076224396
86,3117,2,23,2.55029976122001,2.259171331400088,607298.416944195
87,1615,4,74,6.417459520280502,3.8041811253991873,351082.7677113667
88,1255,3,71,1.310800917440796,3.8218057956064753,306670.32975156663
89,2075,1,35,0.9909763511017731,0.6949945704124765,526588.9262687099
90,1816,4,37,5.547868999897406,4.53225395206192,419283.23602729273
91,3143,1,83,5.6360336552960115,2.6252113877497143,725698.8001833503
