Year,Temperature Anomalies,CO2 Levels
2000,0.009968530571820781,370.0
2001,0.23496546402572735,372.0833333333333
2002,0.19049414844422516,374.1666666666667
2003,0.2479951330422212,376.25
2004,0.21767111906155195,378.3333333333333
2005,0.0706017226219618,380.4166666666667
2006,0.4887811118707216,382.5
2007,0.033590125699554815,384.5833333333333
2008,0.1696870171223717,386.6666666666667
2009,0.4572066388096312,388.75
2010,0.33270515287288815,390.8333333333333
2011,-0.22936285079748767,392.9166666666667
2012,0.48765149524057083,395.0
2013,0.3843631137664332,397.0833333333333
2014,0.11782569094141634,399.1666666666667
2015,0.36323683889917113,401.25
2016,0.1275069543039615,403.3333333333333
2017,0.3826741924532663,405.4166666666667
2018,0.08052703497816055,407.5
2019,0.29372072536121296,409.5833333333333
2020,0.45009216255323226,411.6666666666667
2021,0.6053588284475881,413.75
2022,0.31145587871261704,415.8333333333333
2023,0.521966039011323,417.9166666666667
2024,0.4025569170256791,420.0
