Dates,New Cases,Vaccination Rates
2023-01-01,300,50.0
2023-01-02,264,51.37931034482759
2023-01-03,600,52.758620689655174
2023-01-04,1080,54.13793103448276
2023-01-05,1078,55.51724137931035
2023-01-06,222,56.89655172413793
2023-01-07,603,58.275862068965516
2023-01-08,1274,59.6551724137931
2023-01-09,328,61.03448275862069
2023-01-10,1093,62.41379310344828
2023-01-11,1476,63.793103448275865
2023-01-12,875,65.17241379310344
2023-01-13,1199,66.55172413793103
2023-01-14,1380,67.93103448275862
2023-01-15,561,69.3103448275862
2023-01-16,1344,70.6896551724138
2023-01-17,473,72.06896551724138
2023-01-18,828,73.44827586206897
2023-01-19,1179,74.82758620689656
2023-01-20,876,76.20689655172414
2023-01-21,384,77.58620689655173
2023-01-22,552,78.96551724137932
2023-01-23,313,80.34482758620689
2023-01-24,164,81.72413793103448
2023-01-25,1410,83.10344827586206
2023-01-26,1045,84.48275862068965
2023-01-27,851,85.86206896551724
2023-01-28,610,87.24137931034483
2023-01-29,1326,88.62068965517241
2023-01-30,1470,90.0
